modelo;marca;tipo;ano;km;potência do motor;combustível;câmbio;direção;cor;portas;placa;valor
TORO FREEDOM;FIAT;Pick-up;2020;82378;2.4;Flex;Automático;Elétrica;Cinza;4;SYR8226;72462.58
Q3;AUDI;SUV;2023;23002;1.4;Flex;Automático;Elétrica;Azul;4;FUL1440;260571.23
STRADA ENDURANCE;FIAT;Pick-up;2020;71029;1.4;Gasolina;Manual;Hidráulica;Verde;2;OUW5696;48909.15
SPORTAGE;KIA;SUV;2015;169341;1.6;Flex;Automático;Elétrica;Prata;4;DFM7939;42197.91
XC-40;VOLVO;SUV;2014;122039;2.0;Gasolina;Automático;Elétrica;Verde;4;JZH4715;88562.42
RAV4;TOYOTA;SUV;2017;133502;2.0;Flex;Automático;Elétrica;Preto;4;BBM3433;110133.44
STRADA ENDURANCE;FIAT;Pick-up;2015;104878;1.3;Gasolina;Manual;Hidráulica;Azul;2;KXI0642;23288.14
TRACKER;CHEVROLET;SUV;2013;212098;1.2;Flex;Automático;Elétrica;Marrom;4;TYN7506;29610.75
RANGER;FORD;Pick-up;2017;139843;2.2;Diesel;Automático;Elétrica;Verde;4;KBW0448;67431.84
HB20S;HYUNDAI;Hatch;2014;129107;1.0;Flex;Manual;Elétrica;Prata;4;TEY6091;21503.60
SW4;TOYOTA;SUV;2019;72277;2.7;Diesel;Automático;Elétrica;Azul;12;YXB2525;182939.38
CRONOS;FIAT;Sedã;2017;120997;1.3;Flex;Automático;Elétrica;Preto;4;KGX2962;33439.10
STRADA ENDURANCE;FIAT;Pick-up;2017;116666;1.3;Gasolina;Manual;Hidráulica;Prata;2;ZUN4940;30979.86
HILUX;TOYOTA;Pick-up;2023;18905;2.7;Flex;Manual;Elétrica;Vermelho;4;VJJ6550;205058.94
A3;AUDI;Sedã;2014;190748;2.0;Gasolina;Automático;Elétrica;Prata;4;WFN8896;69669.21
KICKS;NISSAN;SUV;2017;139135;1.6;Flex;Automático;Elétrica;Laranja;4;ARQ0496;47224.29
OUTLANDER;MITSUBISHI;SUV;2019;80081;2.0;Flex;Automático;Elétrica;Preto;4;VJE7604;137378.28
VERSA;NISSAN;Sedã;2013;126181;1.0;Flex;Automático;Elétrica;Cinza;4;VFZ9047;23812.33
KA;FORD;Hatch;2016;150494;1.5;Flex;Automático;Elétrica;Prata;4;ROR5010;23363.68
A3;AUDI;Sedã;2016;134528;2.0;flex;Automático;Elétrica;Verde;4;YQY0949;89489.39
CLASSE A;MERCEDES;;2020;60094;2.0;Gasolina;Automático;Elétrica;Branco;4;NIK3889;189879.89
CERATO;KIA;Sedã;2014;106874;1.6;Flex;Manual;Elétrica;Vermelho;4;ALA7982;35689.16
HR-V;HONDA;SUV;2013;194939;1.8;Flex;Manual;Elétrica;Preto;4;DZX3867;32175.31
VERSA;NISSAN;Sedã;2013;206637;1.6;Flex;Manual;Hidráulica;Branco;4;HJC7256;18325.04
C4 LOUNGE;CITROEN;Passeio;2020;74273;2.0;Flex;Automático;Hidráulica;Laranja;4;PCA7589;46383.56
3008;PEUGEOT;SUV;2017;95136;2.0;Flex;Automático;Elétrica;Prata;4;UBI4973;93621.42
PULSE;FIAT;SUV;2015;94669;1.3;Flex;Automático;Elétrica;Azul;4;PRB5884;32485.04
KWID;RENAULT;Hatch;2023;22483;1.0;Flex;Automático;Elétrica;Laranja;4;SWO3231;48929.71
GOL;VOLKSWAGEN;Hatch;2020;52884;1.0;Flex;Manual;Hidráulica;Laranja;4;MTV8348;35111.51
ECOSPORT;FORD;SUV;2014;170335;2.0;Flex;Manual;Elétrica;Vermelho;4;QXJ9122;23088.77
S10;CHEVROLET;Pick-up;2018;82391;2.5;Flex;Manual;Elétrica;Prata;4;ARJ7193;88272.51
WRANGLER;JEEP;SUV;2023;10249;2.0;Gasolina;Automático;Elétrica;Prata;4;EJJ5920;400274.74
CRUZE;CHEVROLET;Sedã;2021;40835;1.4;Flex;Automático;Elétrica;Branco;4;WZX2046;89092.67
3008;PEUGEOT;SUV;2019;84234;2.0;Flex;Automático;Elétrica;Azul;4;SSM2495;108915.36
DUSTER;RENAULT;SUV;2016;136882;2.0;Flex;Automático;Hidráulica;Vermelho;4;OYJ5104;33438.61
Q5;AUDI;SUV;2013;189646;2.0;Gasolina;Automático;Elétrica;Laranja;4;JMH0420;116633.65
HILUX;TOYOTA;Pick-up;2021;34406;2.7;Diesel;Manual;Elétrica;Preto;4;AFF3386;163806.97
MOBI;FIAT;Hatch;2021;51495;1.0;Flex;Manual;Elétrica;Azul;4;VTA6998;34200.13
SANDERO;RENAULT;Hatch;2020;58593;1.0;Flex;Automático;Elétrica;Preto;4;LYK4801;41956.67
RAV4;TOYOTA;SUV;2013;188322;2.5;Gasolina;Automático;Elétrica;Bege;4;TRH5501;74345.47
CITY;HONDA;Sedã;2022;38845;1.5;Flex;Automático;Elétrica;Preto;4;ECO4801;80112.79
TERRITORY;FORD;SUV;2022;32294;1.5;Flex;Automático;Elétrica;Preto;4;FHN4303;125966.13
C5 AIRCROSS;CITROEN;SUV;2015;145739;1.6;Flex;Automático;Elétrica;Preto;4;DFL7469;48044.20
2008;PEUGEOT;SUV;2023;13350;1.6;Flex;Automático;Elétrica;Prata;4;VPG3544;105437.47
FOX CONNECT;VOLKSWAGEN;NA;2017;91883;1.6;Flex;Manual;Elétrica;Marrom;4;GXT4915;29401.51
GOL;VOLKSWAGEN;Hatch;2016;146418;1.0;Flex;Automático;Hidráulica;Cinza;4;ZOZ0173;20516.11
HB20S;HYUNDAI;Hatch;2016;130582;1.0;Flex;Manual;Hidráulica;Laranja;4;TWK0193;25807.35
OUTLANDER;MITSUBISHI;SUV;2020;70425;2.0;Flex;Automático;Elétrica;Prata;4;VEA1253;140932.02
ECOSPORT;FORD;SUV;2023;9113;2.0;Flex;Automático;Elétrica;Prata;4;XNL0656;82686.17
ARGO;FIAT;Hatch;2019;46177;1.8;Flex;Automático;Elétrica;Marrom;4;UTY3204;47260.64
HR-V;HONDA;SUV;2016;87578;1.5;Flex;Manual;Elétrica;Prata;4;NVI6693;50357.21
CAPTUR;RENAULT;Hatch;2016;132885;1.6;Flex;Automático;Elétrica;Branco;4;AFF6260;35783.87
XC-40;VOLVO;SUV;2017;139110;2.0;Gasolina;Automático;Elétrica;Preto;4;ZSR9636;126237.43
FIT;HONDA;Hatch;2023;21939;1.5;Flex;Automático;Elétrica;Marrom;4;JQG5926;63288.13
RAV4;TOYOTA;SUV;2016;132259;2.5;Flex;Automático;Elétrica;Prata;4;HDF0959;99947.00
CITY;HONDA;Sedã;2015;92244;1.5;Flex;Automático;Elétrica;Vermelho;4;WIG5962;34842.98
DUSTER;RENAULT;SUV;2022;25171;2.0;Flex;Manual;Elétrica;Branco;4;BFQ1205;76092.88
SANDERO;RENAULT;Hatch;2016;104900;1.0;Flex;Automático;Elétrica;Prata;4;LPH5928;23820.80
COMPASS;JEEP;SUV;2019;96374;2.0;Flex;Automático;Elétrica;Bege;4;TTV7038;97923.89
SW4;TOYOTA;SUV;2022;32453;2.7;Flex;Automático;Elétrica;Laranja;4;HOM3719;241870.02
2008;PEUGEOT;SUV;2018;100772;1.6;Flex;Automático;Elétrica;Azul;4;IZB8919;58762.27
STINGER;KIA;Sedã;2017;117672;3.3;Gasolina;Automático;Elétrica;Bege;4;GAV6666;147050.17
FRONTIER;NISSAN;Pick-up;2023;8424;2.3;Diesel;Manual;Elétrica;Branco;4;QXK5951;176607.56
CERATO;KIA;Sedã;2017;86911;2.0;Flex;Automático;Elétrica;Preto;4;UID7933;57703.05
OUTLANDER;MITSUBISHI;SUV;2013;185455;2.0;Flex;Automático;Elétrica;Vermelho;4;EED4515;59515.90
KWID;RENAULT;Hatch;2013;127400;1.0;Flex;Automático;Elétrica;Laranja;4;CCD0024;16743.19
ECOSPORT;FORD;SUV;2013;199245;2.0;Flex;Manual;Elétrica;Cinza;4;JNZ2476;21588.20
HR-V;HONDA;SUV;2018;66455;1.5;Flex;Automático;Elétrica;Marrom;4;WUA8489;67287.81
TORO FREEDOM;FIAT;Pick-up;2021;56791;2.4;Flex;Automático;Elétrica;Marrom;4;KEZ9803;76765.02
CIVIC;HONDA;Sedã;2023;12040;1.8;Flex;Automático;Elétrica;Marrom;4;LYY9897;100149.36
CRUZE;CHEVROLET;Sedã;2015;173558;1.4;Flex;Automático;Elétrica;Vermelho;4;ELD6227;36582.86
FOX CONNECT;VOLKSWAGEN;Hatch;2014;144540;1.6;Flex;Manual;Elétrica;Bege;4;SRY6696;19400.65
CITY;HONDA;Sedã;2016;136095;1.5;Flex;Automático;Elétrica;Verde;4;FDC0797;34559.37
WRANGLER;JEEP;SUV;2015;180778;3.6;Gasolina;Automático;Elétrica;Branco;4;EKL7791;138985.06
DUSTER;RENAULT;Hatch;2014;147216;2.0;Diesel;Automático;Elétrica;Prata;4;MLP1687;27885.71
RAV4;TOYOTA;SUV;2021;45496;2.0;Gasolina;Automático;Elétrica;Laranja;4;BVD7892;193498.77
S10;CHEVROLET;Hatch;2020;66236;2.8;Diesel;Manual;Elétrica;Verde;4;KMJ3072;120914.91
X1;BMW;SUV;2019;85161;1.5;Gasolina;Automático;Elétrica;Vermelho;4;PLM8281;184653.17
COMPASS;JEEP;SUV;2022;18417;1.3;Flex;Automático;Elétrica;Prata;4;JMY1534;131019.19
XC-60;VOLVO;SUV;2016;124439;2.0;Gasolina;Automático;Elétrica;Laranja;4;YQJ6767;41925.50
C3;CITROEN;Hatch;2017;76470;1.6;Flex;Manual;Hidráulica;Preto;4;MRN0552;31425.60
SPIN;CHEVROLET;Passeio;2019;72680;1.8;Flex;Automático;Hidráulica;Preto;4;SWN4738;57532.50
CLASSE C;MERCEDES;Sedã;2020;77208;1.5;Gasolina;Automático;Elétrca;Prata;4;ALI0560;218207.08
TERRITORY;FORD;SUV;2014;99078;1.5;Flex;Automático;Elétrica;Bege;4;HYN7645;49694.74
CLASSE A;MERCEDES;Hatch;2018;75807;1.3;Gasolina;Automático;Elétrica;Branco;4;HVY6231;149713.32
T-CROSS;VOLKSWAGEN;SUV;2021;48780;1.4;Flex;Automático;Hidráulica;Bege;4;YRY1262;84887.78
CRUZE;CHEVROLET;Sedã;2018;92672;1.4;Flex;Automático;Elétrica;Bege;4;ZGH5643;61069.11
CITY;HONDA;Sedã;2017;111893;1.5;Flex;Automático;Hidráulica;Preto;4;JCY1738;43029.64
CLASSE C;MERCEDES;Sedã;2018;92642;2.0;Gasolina;Automático;Elétrica;Prata;4;EUR7584;187181.73
CRETA;HYUNDAI;SUV;2013;154046;1.0;Flex;Manual;Elétrica;Marrom;4;XQJ7644;31942.28
RENEGADE SPORT;JEEP;SUV;2020;45703;2.0;Flex;Automático;Elétrica;Vermelho;4;KIC0791;55340.55
COROLLA;TOYOTA;Sedã;2021;57905;2.0;Flex;Automático;Hidráulica;Laranja;4;RRN1018;66295.35
CERATO;KIA;Sedã;2021;54418;2.0;Flex;Manual;Elétrica;Prata;4;EJD3041;86473.26
HR-V;HONDA;SUV;2023;14146;1.5;Flex;Automático;Elétrica;Laranja;4;FTO2396;123381.39
TERRITORY;FORD;SUV;2020;70550;1.5;Flex;Automático;Elétrica;Marrom;4;HCJ7404;92730.03
CLASSE C;MERCEDES;Sedã;2021;36745;1.5;Gasolina;Automático;Elétrica;Branco;4;FKH4181;261593.76
VERSA;NISSAN;Sedã;2015;116072;1.0;Flex;Automático;Hidráulica;Azul;4;EBK7911;24949.36
TUCSON;HYUNDAI;SUV;2014;168732;2.0;Flex;Automático;Elétrica;Azul;4;STV1971;48775.04
ECOSPORT;FORD;SUV;2023;12247;1.5;Flex;Automático;Elétrica;Marrom;4;MHC4671;76227.06
CRONOS;FIAT;Sedã;2017;125578;1.3;Flex;Manual;Elétrica;Preto;4;EWQ1142;30386.29
PULSE;FIAT;SUV;2019;86966;1.0;Flex;Manual;Elétrica;Bege;4;HQG3456;50496.43
TUCSON;HYUNDAI;SUV;2018;62651;2.0;Flex;Automático;Elétrica;Azul;4;BBT2491;92455.56
OUTLANDER;MITSUBISHI;SUV;2018;111374;2.4;Gasolina;Automático;Elétrica;Branco;4;ITJ7536;111358.16
C4 LOUNGE;CITROEN;Passeio;2014;129360;1.6;Flex;Manual;Hidráulica;Marrom;4;SYB5379;20766.06
ONIX;CHEVROLET;Hatch;2013;173586;1.0;Flex;Automático;Elétrica;Verde;4;LSX0495;18933.46
YARIS;TOYOTA;Hatch;2015;166713;1.5;Flex;Manual;Elétrica;Bege;4;WZE7374;23895.73
SPIN;CHEVROLET;Passeio;2013;203862;1.8;Flex;Manual;Elétrica;Verde;4;HFS5102;22197.37
PULSE;FIAT;SUV;2017;128209;1.0;Flex;Manual;Elétrica;Cinza;4;AJP3075;38889.76
XC-40;VOLVO;SUV;2022;26766;2.0;Gasolina;Automático;Elétrica;Azul;4;EZN9771;250504.67
C3;CITROEN;Hatch;2023;12744;1.6;Flex;Automático;Hidráulica;Azul;4;PVT1273;64875.76
FOX CONNECT;VOLKSWAGEN;Hatch;2020;80368;1.6;Flex;Manual;Elétrica;Cinza;4;YEH3886;40029.96
PULSE;FIAT;SUV;2014;183549;1.3;Flex;Automático;Elétrica;Preto;4;SVP3087;26653.64
GOL;VOLKSWAGEN;Hatch;2015;87142;1.0;Flex;Automático;Hidráulica;Marrom;4;YCT3724;20439.09
VERSA;NISSAN;Sedã;1900;102140;1.6;Flex;Automático;Hidráulica;Cinza;4;RQD8125;27911.43
PULSE;FIAT;SUV;2013;137342;1.0;Flex;Manual;Elétrica;Bege;4;RFW3881;26443.78
CRONOS;FIAT;Sedã;2016;120675;1.3;Flex;Automático;Hidráulica;Marrom;4;JYC0143;28377.68
CERATO;KIA;Sedã;2015;164658;2.0;Flex;Automático;Elétrica;Vermelho;4;YVS0091;35723.54
FIT;HONDA;Hatch;2015;177206;1.5;Flex;Automático;Elétrica;Preto;4;YHC9133;19236.29
XC-40;VOLVO;SUV;2022;41144;2.0;Gasolina;Automático;Elétrica;Bege;4;OMN2075;244625.56
DUSTER;RENAULT;SUV;2014;163518;1.6;Flex;Manual;Hidráulica;Branco;4;MDC9387;23652.98
FRONTIER;NISSAN;Pick-up;2015;107233;2.3;Diesel;Manual;Elétrica;Branco;4;ZSJ0937;66191.98
T-CROSS;VOLKSWAGEN;SUV;2020;44190;1.0;Flex;Automático;Elétrica;Prata;4;COV1177;76770.53
SW4;TOYOTA;SUV;2020;44842;2.8;Diesel;Automático;Elétrica;Vermelho;4;BQP1134;222521.22
FRONTIER;NISSAN;Pick-up;2021;39865;2.3;Diesel;Manual;Elétrica;Prata;4;NZD2621;148234.89
X3;BMW;SUV;2022;30166;2.0;Gasolina;Automático;Elétrica;Bege;4;BJL2137;367649.12
MASTER;RENAULT;Van;2017;71317;2.3;Diesel;Manual;Hidráulica;Marrom;2;EFY2050;65160.27
ECLIPSE CROSS;MITSUBISHI;SUV;2013;173899;1.5;Flex;Automático;Elétrica;Branco;4;YNI3316;52280.52
2008;PEUGEOT;SUV;2014;105873;1.6;Flex;Automático;Elétrica;Marrom;4;ERC6922;40162.70
PULSE;FIAT;SUV;2015;145186;1.3;Flex;Manual;Elétrica;Vermelho;4;BSR2969;28719.79
208;PEUGEOT;Hatch;2014;117861;1.2;Flex;Automático;Hidráulica;Laranja;4;IYE2301;23658.35
CRETA;HYUNDAI;SUV;2020;67644;2.0;Flex;Manual;Elétrica;Marrom;4;JHK6645;78471.20
FIT;HONDA;Hatch;2018;64615;1.5;Flex;Automático;Elétrica;Branco;4;SOE1358;35615.01
SENTRA;NISSAN;Sedã;2023;14403;2.0;Flex;Automático;Elétrica;Verde;4;CTX9713;101468.03
OUTLANDER;MITSUBISHI;SUV;2016;148991;2.4;Flex;Automático;Elétrica;Branco;4;YDF5970;85420.63
STINGER;KIA;Sedã;2020;56813;2.0;Gasolina;Automático;Elétrica;Bege;4;QCB4278;212128.26
CRETA;HYUNDAI;SUV;2015;112508;1.0;Flex;Automático;Elétrica;Vermelho;4;JKM6163;39237.69
C4 LOUNGE;CITROEN;Passeio;2013;110017;1.6;Flex;Manual;Hidráulica;Azul;4;XYM3762;22837.04
KICKS;NISSAN;SUV;2015;155903;1.6;Flex;Manual;Elétrica;Cinza;4;UPF2169;32776.53
COMPASS;JEEP;SUV;2013;186336;2.0;Diesel;Manual;Elétrica;Laranja;4;JVL9394;43115.43
X1;BMW;SUV;2022;25905;1.5;Gasolina;Automático;Elétrica;Bege;4;ZUC6644;269642.58
SERIE 3;BMW;Sedã;2014;138958;2.0;Gasolina;Automático;Elétrica;Cinza;4;OCW9374;125055.48
C5 AIRCROSS;CITROEN;SUV;2013;167190;1.6;Flex;Automático;Elétrica;Vermelho;4;RAX0078;43675.43
FIT;HONDA;Hatch;2018;94509;1.5;Flex;Manual;Elétrica;Cinza;4;UPD6919;32884.24
STINGER;KIA;Sedã;2016;150069;2.0;Gasolina;Automático;Elétrica;Vermelho;4;YFC4650;114716.49
TIGUAN;VOLKSWAGEN;SUV;2022;25039;2.0;Flex;Automático;Elétrica;Azul;4;QFF8783;170339.61
POLO COMFORTINE;VOLKSWAGEN;Hatch;2017;127417;1.0;Flex;Manual;Hidráulica;Preto;4;DDG1089;25899.89
AMAROK;VOLKSWAGEN;Pick-up;2020;55659;2.0;Diesel;Manual;Elétrica;Preto;4;JIX8101;152504.02
TERRITORY;FORD;SUV;2014;184649;1.5;Flex;Automático;Elétrica;Prata;4;YFA0518;38375.82
LOGAN;RENAULT;Hatch;2013;157707;1.6;Flex;Manual;Hidráulica;Prata;4;MYJ5274;17017.86
XC-60;VOLVO;Pick-up;2016;98042;1.0;Diesel;Automático;Elétrica;Bege;4;UPE2744;44532.43
TUCSON;HYUNDAI;SUV;2018;95818;1.6;Flex;Automático;Elétrica;Marrom;4;XVL8924;87496.35
CLASSE C;MERCEDES;Sedã;2018;100256;2.0;Gasolina;Automático;Elétrica;Azul;4;JBR3713;173593.15
CITY;HONDA;Sedã;2016;122027;1.5;Flex;Automático;Hidráulica;Bege;4;FFO7986;37374.79
SPORTAGE;KIA;SUV;2023;13905;2.0;Gasolina;Automático;Elétrica;Cinza;4;MZK1133;135511.23
COROLLA;TOYOTA;Sedã;2013;120406;1.8;Flex;Automático;Hidráulica;Bege;4;XBQ0087;29305.45
CR-V;HONDA;SUV;2019;76892;1.5;Flex;Automático;Elétrica;Bege;4;MQX8912;131735.29
MOBI;FIAT;Hatch;2014;132353;1.0;Flex;Manual;Elétrica;Preto;4;VNA6080;14086.11
SW4;TOYOTA;SUV;2014;127129;2.8;Diesel;Automático;Elétrica;Prata;4;LDW7894;96615.12
TORO FREEDOM;FIAT;Pick-up;2021;52424;1.8;Diesel;Automático;Elétrica;Azul;4;CTS3826;80361.12
T-CROSS;VOLKSWAGEN;SUV;2014;178008;1.4;Flex;Automático;Hidráulica;Cinza;4;ECF5587;30744.20
FRONTIER;NISSAN;Pick-up;2023;18729;2.3;Diesel;Manual;Elétrica;Azul;4;WNU1213;181183.07
ARGO;FIAT;Hatch;2015;156014;1.3;Flex;Manual;Elétrica;Branco;4;GMN3153;19502.61
C5 AIRCROSS;CITROEN;SUV;2021;44776;1.6;Flex;Automático;Elétrica;Vermelho;4;BJY1112;115525.61
CLASSE A;MERCEDES;Hatch;2019;55305;1.3;Gasolina;Automático;Elétrica;Cinza;4;XOG5286;168808.10
C5 AIRCROSS;CITROEN;SUV;2014;134045;1.6;Flex;Automático;Elétrica;Prata;4;QSH0196;48294.82
MASTER;RENAULT;Van;2015;154445;2.3;Diesel;Manual;Hidráulica;Azul;2;ZRL0981;40477.58
ECOSPORT;FORD;SUV;2022;32276;2.0;Flex;Manual;Elétrica;Cinza;4;BAR2257;71052.61
AMAROK;VOLKSWAGEN;Pick-up;2017;102482;3.0;Diesel;Automático;Elétrica;Verde;4;GLV3356;118576.64
ECLIPSE CROSS;MITSUBISHI;SUV;2014;124052;1.5;Flex;Automático;Elétrica;Cinza;4;MGT9371;62567.43
ARGO;FIAT;Hatch;2017;109388;1.8;Flex;Manual;Elétrica;Azul;4;PYH1578;29327.73
FRONTIER;NISSAN;Pick-up;2022;27460;2.3;Diesel;Manual;Elétrica;Laranja;4;RNH5140;156722.21
FRONTIER;NISSAN;Pick-up;2013;160193;2.3;Diesel;Manual;Elétrica;Laranja;4;LRA2328;56534.97
X3;BMW;SUV;2015;172614;2.0;Gasolina;Automático;Elétrica;Bege;4;HAY2633;136690.19
CRETA;HYUNDAI;SUV;2017;84228;2.0;Flex;Automático;Elétrica;Marrom;4;GKF3294;56127.37
STINGER;KIA;Sedã;2014;160036;2.0;Gasolina;Automático;Elétrica;Laranja;4;MYL9070;88151.35
SW4;TOYOTA;SUV;2016;98105;2.8;Flex;Automático;Elétrica;Bege;4;RMT5802;130209.64
ARGO;FIAT;Hatch;2018;62971;1.8;Diesel;Automático;Elétrica;Azul;4;TRT0217;39396.98
DUSTER;RENAULT;SUV;2023;10167;1.6;Flex;Automático;Hidráulica;Laranja;4;BDW5210;82914.68
C5 AIRCROSS;CITROEN;SUV;2013;156296;1.6;Flex;Automático;Elétrica;Prata;4;GPL6110;43163.48
MASTER;RENAULT;Van;2015;109388;2.3;Diesel;Manual;Hidráulica;Vermelho;2;MRK6144;41650.26
FRONTIER;NISSAN;Pick-up;2014;168518;2.3;Diesel;Automático;Elétrica;Marrom;4;XJD8401;57217.76
2008;PEUGEOT;SUV;2016;130338;1.6;Flex;Automático;Elétrica;Prata;4;ISU2733;46715.17
ECLIPSE CROSS;MITSUBISHI;SUV;2019;102749;1.5;Flex;Automático;Elétrica;Azul;4;JQK0810;101632.14
L200 TRITON;MITSUBISHI;Pick-up;2018;97346;2.4;Diesel;Manual;Elétrica;Bege;4;BGA7436;99212.56
S10;CHEVROLET;Pick-up;2018;112974;2.5;Diesel;Automático;Elétrica;Marrom;4;FMR2745;91794.94
FOX CONNECT;FIATT;Hatch;2022;21061;1.6;Flex;Manual;Elétrica;Prata;4;UOW3697;54598.93
CRUZE;CHEVROLET;Sedã;2016;139524;1.4;Flex;Automático;Elétrica;Preto;4;QWO1514;43182.18
SERIE 3;BMW;Sedã;2018;91291;2.0;Gasolina;Automático;Elétrica;Bege;4;WEH5256;199610.24
VIRTUS COMFORTINE;VOLKSWAGEN;Sedã;2021;48518;1.0;Flex;Automático;Hidráulica;Branco;4;GIT1579;68392.14
VIRTUS COMFORTINE;VOLKSWAGEN;Sedã;2016;139352;1.6;Flex;Manual;Elétrica;Preto;4;TYX4171;33080.55
DUSTER;RENAULT;SUV;2023;6257;2.0;Flex;Automático;Elétrica;Cinza;4;AUF6360;85838.47
C4 LOUNGE;CITROEN;Passeio;2019;82808;1.6;Flex;Automático;Hidráulica;Preto;4;XZJ1402;42290.20
CAPTUR;RENAULT;Hatch;2019;51716;1.6;Flex;Automático;Elétrica;Preto;4;LHI6891;56834.76
TORO FREEDOM;FIAT;Pick-up;2023;14457;1.8;Flex;Automático;Elétrica;Laranja;4;LHJ5828;94972.58
SERIE 3;BMW;Sedã;2021;53481;2.0;Gasolina;Automático;Elétrica;Marrom;4;CXV5351;296114.96
PULSE;FIAT;SUV;2013;195467;1.0;Flex;Automático;Elétrica;Branco;4;HPH9083;23673.24
C3;CITROEN;Hatch;2019;67167;1.6;Flex;Manual;Hidráulica;Bege;4;NRA7997;38069.64
CRETA;HYUNDAI;SUV;2022;18659;1.0;Flex;Automático;Elétrica;Bege;4;OYY2954;99334.74
CLASSE A;MERCEDES;Hatch;2017;71334;1.3;Gasolina;Automático;Elétrica;Prata;4;UYC2533;134877.24
COMPASS;JEEP;SUV;2017;106146;2.0;Flex;Manual;Elétrica;Marrom;4;WLA0036;72296.60
XC-40;VOLVO;SUV;2013;141622;2.0;Gasolina;Automático;Elétrica;Laranja;4;THW1616;84711.38
CRONOS;FIAT;Sedã;2023;17801;1.3;Flex;Automático;Elétrica;Branco;4;BSG2683;71658.64
MASTER;RENAULT;Van;2018;66490;2.3;Diesel;Manual;Hidráulica;Verde;2;FOV6042;66881.90
COMPASS;JEEP;SUV;2018;60686;2.0;Diesel;Automático;Elétrica;Marrom;4;JHD5123;94742.60
3008;PEUGEOT;SUV;2022;28771;2.0;Flex;Automático;Elétrica;Prata;4;YYZ5967;164597.53
TORO FREEDOM;FIAT;Pick-up;2021;44009;1.8;Diesel;Automático;Elétrica;Vermelho;4;HGG7347;75825.07
MASTER;RENAULT;Van;2020;69388;2.3;Diesel;Manual;Hidráulica;Verde;2;XQP4458;81521.67
GLA;MERCEDES;SUV;2016;118068;2.0;Gasolina;Automático;Elétrica;Azul;4;CKZ5678;129951.42
ECOSPORT;FORD;SUV;2015;104188;1.5;Flex;Automático;Elétrica;Preto;4;VAE0553;28678.66
STRADA ENDURANCE;FIAT;Pick-up;2019;103423;1.4;Gasolina;Manual;Hidráulica;Azul;2;QZB7344;39735.89
STINGER;KIA;Sedã;2017;75613;3.3;Gasolina;Automático;Elétrica;Prata;4;PRL3172;169103.00
CAPTUR;RENAULT;Hatch;2017;108308;2.0;Flex;Automático;Elétrica;Vermelho;4;IED8792;42657.05
Q3;AUDI;SUV;2022;23600;2.0;Gasolina;Automático;Elétrica;Prata;4;HLX2997;266216.33
YARIS;TOYOTA;Hatch;2015;99703;1.3;Flex;Manual;Elétrica;Marrom;4;NFM8329;27858.76
VERSA;NISSAN;Sedã;2021;53925;1.0;Flex;Automático;Hidráulica;Preto;4;MCD2698;56461.24
DUSTER;RENAULT;SUV;2014;180233;2.0;Flex;Automático;Elétrica;Laranja;4;SIY4973;26332.95
TERRITORY;FORD;SUV;2023;12551;1.5;Flex;Automático;Elétrica;Cinza;4;MME4160;135030.02
LOGAN;RENAULT;Hatch;2013;118836;1.6;Diesel;Manual;Hidráulica;Prata;4;RPQ2359;19295.85
CAPTUR;RENAULT;Hatch;2017;125000;2.0;Flex;Automático;Elétrica;Verde;4;CCW7293;41707.64
CRONOS;FIAT;Sedã;2015;111807;1.8;Flex;Manual;Elétrica;Bege;4;VWP6022;26469.30
XC-40;VOLVO;SUV;2013;191606;2.0;FLex;Automático;Elétrica;Bege;4;KXG7383;77683.83
Q3;AUDI;SUV;2015;164913;1.4;Gasolina;Automático;Elétrica;Marrom;4;YAJ7337;82605.95
POLO COMFORTINE;VOLKSWAGEN;Hatch;2021;48197;1.0;Flex;Manual;Hidráulica;Verde;4;HEJ4520;48041.79
CLASSE C;MERCEDES;Sedã;2014;144787;2.0;Gasolina;Automático;Elétrica;Vermelho;4;FUG2176;104376.89
TUCSON;HYUNDAI;SUV;2014;193660;1.6;Flex;Automático;Elétrica;Branco;4;XCP3887;44765.49
RANGER;FORD;Pick-up;2017;138803;3.2;Diesel;Manual;Elétrica;Vermelho;4;JLF4227;2.42
C3;CITROEN;Hatch;2013;154848;1.6;Flex;Automático;Hidráulica;Laranja;4;ZKG3563;20510.89
TIGUAN;VOLKSWAGEN;SUV;2014;124755;1.4;Flex;Automático;Elétrica;Preto;4;QMS5272;61498.20
HR-V;HONDA;SUV;2015;125057;1.5;Flex;Automático;Elétrica;Vermelho;4;UOI6375;44003.77
TIGUAN;VOLKSWAGEN;SUV;2014;130068;2.0;Flex;Automático;Elétrica;Branco;4;TEL9041;66780.02
OUTLANDER;MITSUBISHI;SUV;2015;154026;2.4;Gasolina;Automático;Elétrica;Preto;4;SWH3851;69303.76
SANDERO;RENAULT;Hatch;2022;28035;1.6;Flex;Automático;Elétrica;Cinza;4;ESM3149;50191.48
CRUZE;CHEVROLET;Sedã;2016;146171;1.4;Flex;Automático;Elétrica;Branco;4;EJO2692;45941.97
CERATO;KIA;Sedã;2022;36047;2.0;Flex;Automático;Elétrica;Verde;4;CDS2217;97903.62
C4 LOUNGE;CITROEN;Passeio;2018;81334;2.0;Flex;Manual;Hidráulica;Branco;4;CUD1838;35622.01
